id,name,company,contract_period,rental_fee,benefit,product_id,rental_company_id
82,"아남 UHD 스마트 TV 55인치  (벽걸이, 스탠드)",LG헬로비전,36개월,"27,900","180,000",198,4
83,"아남 UHD 스마트 TV 55인치  (벽걸이, 스탠드)",LG헬로비전,48개월,"21,900","189,000",198,4
84,"아남 UHD 스마트 TV 55인치  (벽걸이, 스탠드)",LG헬로비전,60개월,"18,900","204,000",198,4
85,LG IPS UHD TV 75인치 (75UT931C0NA) (스탠드 or 벽걸이),스마트렌탈,36개월,"81,500","312,000",199,3
86,LG IPS UHD TV 75인치 (75UT931C0NA) (스탠드 or 벽걸이),스마트렌탈,48개월,"64,500","329,000",199,3
87,LG IPS UHD TV 75인치 (75UT931C0NA) (스탠드 or 벽걸이),스마트렌탈,60개월,"54,500","347,000",199,3
88,LG OLED 77인치 TV (OLED77B4SSW) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"200,200","882,000",200,2
89,LG OLED 77인치 TV (OLED77B4SSW) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"158,700","936,000",200,2
90,LG OLED 77인치 TV (OLED77B4SSW) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"133,600","981,000",200,2
91,LG QLED TV 86인치 (86QNED91TKA) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"217,100","963,000",201,2
92,LG QLED TV 86인치 (86QNED91TKA) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"171,500","1,008,000",201,2
93,LG QLED TV 86인치 (86QNED91TKA) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"144,400","1,062,000",201,2
94,LG QNED TV 75인치 (75QNED86AKS) (스탠드 or 벽걸이),LG구독,36개월,"93,900","255,000",202,7
95,LG QNED TV 75인치 (75QNED86AKS) (스탠드 or 벽걸이),LG구독,48개월,"76,700","261,000",202,7
96,LG QNED TV 75인치 (75QNED86AKS) (스탠드 or 벽걸이),LG구독,60개월,"65,100","266,000",202,7
97,LG QNED TV 75인치 (75QNED9MAKW) (벽걸이형),LG구독,36개월,"117,900","321,000",203,7
98,LG QNED TV 75인치 (75QNED9MAKW) (벽걸이형),LG구독,48개월,"96,100","327,000",203,7
99,LG QNED TV 75인치 (75QNED9MAKW) (벽걸이형),LG구독,60개월,"81,600","333,000",203,7
100,LG TV 65인치 IPS UHD 65인치 (65UT931C) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"59,800","261,000",204,2
101,LG TV 65인치 IPS UHD 65인치 (65UT931C) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"47,400","279,000",204,2
102,LG TV 65인치 IPS UHD 65인치 (65UT931C) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"40,000","297,000",204,2
103,LG TV 65인치 IPS UHD 65인치 (65UT931C) (스탠드 or 벽걸이),스마트렌탈,36개월,"58,900","225,000",204,3
104,LG TV 65인치 IPS UHD 65인치 (65UT931C) (스탠드 or 벽걸이),스마트렌탈,48개월,"46,900","239,000",204,3
105,LG TV 65인치 IPS UHD 65인치 (65UT931C) (스탠드 or 벽걸이),스마트렌탈,60개월,"39,900","254,000",204,3
106,LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),LG헬로비전,36개월,"118,900","770,000",205,4
107,LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),LG헬로비전,48개월,"92,900","802,000",205,4
108,LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),LG헬로비전,60개월,"77,900","841,000",205,4
109,LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"110,400","486,000",205,2
110,LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"87,200","513,000",205,2
111,LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"73,500","540,000",205,2
112,LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),스마트렌탈,36개월,"111,900","428,000",205,3
113,LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),스마트렌탈,48개월,"88,900","453,000",205,3
114,LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),스마트렌탈,60개월,"75,900","484,000",205,3
115,LG 나노셀 TV (스탠드 or 벽걸이) 86인치 (86NANO90AK),LG구독,36개월,"96,300","262,000",206,7
116,LG 나노셀 TV (스탠드 or 벽걸이) 86인치 (86NANO90AK),LG구독,48개월,"78,600","267,000",206,7
117,LG 나노셀 TV (스탠드 or 벽걸이) 86인치 (86NANO90AK),LG구독,60개월,"66,800","273,000",206,7
118,LG 올레드 OLED TV 55인치 (OLED55B4K) (스탠드 or 벽걸이),LG구독,36개월,"55,500","151,000",207,7
119,LG 올레드 OLED TV 55인치 (OLED55B4K) (스탠드 or 벽걸이),LG구독,48개월,"45,100","153,000",207,7
120,LG 올레드 OLED TV 55인치 (OLED55B4K) (스탠드 or 벽걸이),LG구독,60개월,"38,300","156,000",207,7
121,LG 올레드 OLED TV 65인치 (OLED65G4K) (스탠드 or 벽걸이),LG구독,36개월,"113,900","310,000",208,7
122,LG 올레드 OLED TV 65인치 (OLED65G4K) (스탠드 or 벽걸이),LG구독,48개월,"92,700","315,000",208,7
123,LG 올레드 OLED TV 65인치 (OLED65G4K) (스탠드 or 벽걸이),LG구독,60개월,"78,600","321,000",208,7
124,LG 올레드 OLED TV 77인치 (OLED77B5S) (스탠드 or 벽걸이),LG구독,36개월,"151,600","413,000",209,7
125,LG 올레드 OLED TV 77인치 (OLED77B5S) (스탠드 or 벽걸이),LG구독,48개월,"123,600","421,000",209,7
126,LG 올레드 OLED TV 77인치 (OLED77B5S) (스탠드 or 벽걸이),LG구독,60개월,"104,900","428,000",209,7
127,대우써머스 LED 24인치 (LHDK2402FB) 스탠드형,LG헬로비전,60개월,"10,900","47,000",210,4
128,대우써머스 UHD 65인치 (LHDK6501US) 스탠드 or 벽걸이형,LG헬로비전,36개월,"26,900","161,000",211,4
129,대우써머스 UHD 65인치 (LHDK6501US) 스탠드 or 벽걸이형,LG헬로비전,48개월,"20,900","163,000",211,4
130,대우써머스 UHD 65인치 (LHDK6501US) 스탠드 or 벽걸이형,LG헬로비전,60개월,"17,000","162,000",211,4
131,더함 구글 OS QLED VRR 144Hz 65인치+이동형스탠드 화이트 (UA651Q-삼탠바이미),스마트렌탈,36개월,"39,900","199,000",212,3
132,더함 구글 OS QLED VRR 144Hz 65인치+이동형스탠드 화이트 (UA651Q-삼탠바이미),스마트렌탈,48개월,"31,900","212,000",212,3
133,더함 구글 OS QLED VRR 144Hz 65인치+이동형스탠드 화이트 (UA651Q-삼탠바이미),스마트렌탈,60개월,"26,900","224,000",212,3
134,더함 스마트 구글 5.0 OS 안드로이드 14 QLED 85인치 120Hz (UA851QLED) (스탠드 or 벽걸이형),현대렌탈서비스,36개월,"74,200","324,000",213,2
135,더함 스마트 구글 5.0 OS 안드로이드 14 QLED 85인치 120Hz (UA851QLED) (스탠드 or 벽걸이형),현대렌탈서비스,48개월,"58,600","342,000",213,2
136,더함 스마트 구글 5.0 OS 안드로이드 14 QLED 85인치 120Hz (UA851QLED) (스탠드 or 벽걸이형),현대렌탈서비스,60개월,"49,400","360,000",213,2
137,더함 스마트 구글 5.0 OS 안드로이드 14 QLED TV 55인치 120Hz+이동형스탠드 (G554Q-5.0-삼텐바이미),스마트렌탈,36개월,"28,900","144,000",214,3
138,더함 스마트 구글 5.0 OS 안드로이드 14 QLED TV 55인치 120Hz+이동형스탠드 (G554Q-5.0-삼텐바이미),스마트렌탈,48개월,"23,900","159,000",214,3
139,더함 스마트 구글 5.0 OS 안드로이드 14 QLED TV 55인치 120Hz+이동형스탠드 (G554Q-5.0-삼텐바이미),스마트렌탈,60개월,"20,900","174,000",214,3
140,더함 스마트 구글 5.0 OS 안드로이드 14 QLED TV 65인치 120Hz+이동형스탠드 (G654Q-5.0-삼텐바이미),스마트렌탈,36개월,"38,900","194,000",215,3
141,더함 스마트 구글 5.0 OS 안드로이드 14 QLED TV 65인치 120Hz+이동형스탠드 (G654Q-5.0-삼텐바이미),스마트렌탈,48개월,"30,900","206,000",215,3
142,더함 스마트 구글 5.0 OS 안드로이드 14 QLED TV 65인치 120Hz+이동형스탠드 (G654Q-5.0-삼텐바이미),스마트렌탈,60개월,"25,900","216,000",215,3
143,삼성 2024 Crystal UHD TV 85인치 (스탠드형) (KU85UD7030FXKR),스마트렌탈,36개월,"94,500","361,000",216,3
144,삼성 2024 Crystal UHD TV 85인치 (스탠드형) (KU85UD7030FXKR),스마트렌탈,48개월,"74,500","380,000",216,3
145,삼성 2024 Crystal UHD TV 85인치 (스탠드형) (KU85UD7030FXKR),스마트렌탈,60개월,"62,900","401,000",216,3
146,삼성 QLED 55인치 스탠드형 (KQ55QD68AFXKR_S),지니원(개인전용),36개월,"59,600","310,000",217,1
147,삼성 QLED 55인치 스탠드형 (KQ55QD68AFXKR_S),지니원(개인전용),48개월,"47,100","300,000",217,1
148,삼성 QLED 55인치 스탠드형 (KQ55QD68AFXKR_S),지니원(개인전용),60개월,"39,800","290,000",217,1
149,삼성 QLED 55인치 스탠드형 (KQ55QD68AFXKR_S),현대렌탈서비스,36개월,"49,500","261,000",217,2
150,삼성 QLED 55인치 스탠드형 (KQ55QD68AFXKR_S),현대렌탈서비스,48개월,"39,400","279,000",217,2
151,삼성 QLED 55인치 스탠드형 (KQ55QD68AFXKR_S),현대렌탈서비스,60개월,"33,400","297,000",217,2
152,삼성 QLED 75인치 스탠드형 (KQ75QD68AFXKR_S),렌티스,36개월,"113,000","399,000",218,5
153,삼성 QLED 75인치 스탠드형 (KQ75QD68AFXKR_S),렌티스,48개월,"91,000","428,000",218,5
154,삼성 QLED 75인치 스탠드형 (KQ75QD68AFXKR_S),렌티스,60개월,"77,000","453,000",218,5
155,삼성 QLED 75인치 스탠드형 (KQ75QD68AFXKR_S),스마트렌탈,36개월,"95,500","365,000",218,3
156,삼성 QLED 75인치 스탠드형 (KQ75QD68AFXKR_S),스마트렌탈,48개월,"75,900","387,000",218,3
157,삼성 QLED 75인치 스탠드형 (KQ75QD68AFXKR_S),스마트렌탈,60개월,"63,900","407,000",218,3
158,삼성 QLED 75인치 스탠드형 (KQ75QD68AFXKR_S),지니원(개인전용),36개월,"95,900","397,000",218,1
159,삼성 QLED 75인치 스탠드형 (KQ75QD68AFXKR_S),지니원(개인전용),48개월,"75,800","382,000",218,1
